Month,NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
april,"SUMNER - GLENWOOD",4,0,0,1,3,0,0,0,0
april,TANGLETOWN,11,0,0,1,1,4,5,0,0
april,"UNIVERSITY OF MINNESOTA",6,0,0,0,0,1,4,1,0
april,"VENTURA VILLAGE",41,0,1,10,0,7,18,4,1
april,VICTORY,14,0,1,0,0,8,4,1,0
april,"WAITE PARK",10,0,0,1,1,3,4,1,0
april,"WEBBER - CAMDEN",23,0,0,2,4,9,7,1,0
april,WENONAH,6,0,1,2,0,0,3,0,0
april,"WEST CALHOUN",2,0,0,0,0,0,2,0,0
april,WHITTIER,64,0,2,9,2,10,39,1,1
april,"WILLARD - HAY",36,0,1,4,10,6,11,4,0
april,WINDOM,9,0,0,0,2,1,6,0,0
april,"WINDOM PARK",5,0,0,1,0,2,2,0,0
may,ARMATAGE,4,0,0,0,0,0,4,0,0
may,"AUDUBON PARK",24,0,0,2,0,7,12,3,0
may,BANCROFT,7,0,0,0,0,2,5,0,0
may,BELTRAMI,5,0,0,0,1,2,2,0,0
may,BOTTINEAU,11,0,0,1,0,4,6,0,0
may,BRYANT,12,0,0,2,0,3,7,0,0
may,"BRYN - MAWR",12,0,0,0,0,5,7,0,0
may,"CAMDEN INDUSTRIAL",3,0,0,0,0,1,2,0,0
may,CARAG,23,0,0,3,0,8,12,0,0
may,"CEDAR - ISLES - DEAN",15,0,0,0,1,4,9,1,0
may,"CEDAR RIVERSIDE",34,0,0,6,3,4,17,4,0
may,CENTRAL,32,0,1,4,5,7,13,1,1
may,CLEVELAND,16,0,0,0,4,7,5,0,0
may,"COLUMBIA PARK",6,0,0,0,0,3,3,0,0
may,COMO,16,0,1,0,0,2,11,2,0
may,COOPER,7,0,0,0,0,3,4,0,0
may,CORCORAN,19,0,0,3,1,1,12,2,0
may,"DIAMOND LAKE",14,0,0,1,1,2,9,1,0
may,"DOWNTOWN EAST",12,0,1,0,1,1,9,0,0
may,"DOWNTOWN WEST",234,0,3,14,21,1,191,4,0
may,"EAST HARRIET",9,0,1,0,0,2,6,0,0
may,"EAST ISLES",30,0,0,2,2,3,19,4,0
may,"EAST PHILLIPS",38,0,0,6,7,5,18,2,0
may,ECCO,14,0,0,0,0,6,8,0,0
may,"ELLIOT PARK",61,0,2,4,2,3,43,7,0
may,ERICSSON,8,0,0,0,0,5,2,1,0
may,FIELD,3,0,0,0,1,1,1,0,0
may,FOLWELL,39,0,3,5,4,15,10,2,0
may,FULTON,7,0,0,0,0,5,2,0,0
may,HALE,4,0,0,0,0,1,3,0,0
may,HARRISON,28,0,0,0,6,10,10,1,1
may,HAWTHORNE,56,0,0,6,13,9,22,5,1
may,HIAWATHA,18,0,1,1,0,2,14,0,0
may,HOLLAND,20,0,0,2,3,2,13,0,0
may,HOWE,17,0,0,0,1,10,5,1,0
may,"HUMBOLDT INDUSTRIAL AREA",1,0,0,0,0,0,1,0,0
may,JORDAN,84,1,3,11,14,22,32,0,1
may,KEEWAYDIN,9,0,0,0,0,4,3,1,1
may,KENNY,2,0,0,0,0,1,0,1,0
may,KENWOOD,7,0,0,0,0,3,3,1,0
may,"KING FIELD",16,0,0,1,2,5,8,0,0
may,"LIND - BOHANON",22,0,2,0,5,3,5,7,0
may,"LINDEN HILLS",12,0,0,0,0,4,8,0,0
may,"LOGAN PARK",10,0,0,0,0,1,8,1,0
may,LONGFELLOW,49,0,2,2,4,10,30,1,0
may,"LORING PARK",43,0,0,4,7,0,26,6,0
may,"LOWRY HILL",14,0,0,1,0,3,10,0,0
may,"LOWRY HILL EAST",45,0,0,1,0,7,36,1,0
may,LYNDALE,36,0,0,2,3,6,25,0,0
may,LYNNHURST,11,0,0,0,0,6,5,0,0
may,"MARCY HOLMES",49,0,1,5,1,9,27,6,0
may,"MARSHALL TERRACE",4,0,0,0,0,1,2,1,0
may,MCKINLEY,32,0,1,1,5,9,10,3,3
may,"MID - CITY INDUSTRIAL",4,0,0,0,0,1,3,0,0
may,"MIDTOWN PHILLIPS",40,0,3,0,3,6,28,0,0
may,MINNEHAHA,7,0,0,0,0,1,5,1,0
may,"MORRIS PARK",7,0,0,1,0,3,3,0,0
may,"NEAR - NORTH",89,0,0,6,10,20,47,4,2
may,"NICOLLET ISLAND - EAST BANK",7,0,0,1,0,2,4,0,0
may,"NORTH LOOP",39,0,0,1,1,1,35,1,0
may,"NORTHEAST PARK",15,0,0,0,2,0,12,1,0
may,NORTHROP,14,0,0,1,1,3,9,0,0
may,PAGE,1,0,0,0,0,1,0,0,0
may,"PHILLIPS WEST",21,0,0,2,2,3,12,2,0
may,"POWDERHORN PARK",44,0,3,6,3,4,27,1,0
may,"PROSPECT PARK - EAST RIVER ROAD",16,0,0,1,0,3,11,1,0
may,REGINA,10,0,0,3,0,4,3,0,0
may,SEWARD,41,0,0,1,6,14,20,0,0
may,SHERIDAN,24,0,0,0,0,14,8,2,0
may,"SHINGLE CREEK",8,0,0,1,1,2,4,0,0
may,"ST. ANTHONY EAST",9,0,0,1,0,5,2,1,0
may,"ST. ANTHONY WEST",4,0,0,0,0,1,2,1,0
may,STANDISH,22,0,1,4,0,11,6,0,0
